label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
local-2024-07-31 22:24:56.253511,0.4099001884460449,329.3281,164.25,64.14140009880066,318.0781,-95.4063
local-2024-07-31 22:40:43.975761,0.4198000431060791,327.7969,163.0469,67.98179984092712,147.7812,-264.1719
local-2024-07-31 22:46:49.477257,0.3976998329162597,359.0781,192.8437,71.31319999694824,150.0781,-293.1407
local-2024-07-31 22:49:43.255601,0.3945999145507812,356.1562,189.8906,67.06069993972778,278.9062,-161.4063
local-2024-08-01 00:15:50.863789,0.4282000064849853,337.9531,172.35930000000002,69.54739999771118,143.9375,-278.1563
local-2024-08-04 12:43:21.565726,0.4274001121520996,332.6094,167.2344,69.14989995956421,150.7969,-265.9687
local-2024-08-04 12:50:24.320423,0.3989999294281006,352.25,187.1562,69.25260019302368,335.4844,-100.9062
local-2024-08-04 12:53:39.545319,0.3819999694824219,330.9688,165.68759999999995,67.75549983978271,262.8594,-152.25
local-2024-08-04 12:58:10.314864,0.3869998455047607,356.6406,190.2656,71.97939991950989,319.9844,-120.79680000000002
local-2024-08-04 13:00:44.683462,0.3848998546600342,357.5,191.9219,66.83039999008179,453.6094,11.968799999999987
local-2024-08-04 13:06:02.063534,0.4061999320983886,361.2188,195.0157,65.51959991455078,309.7188,-135.6406
local-2024-08-04 13:10:02.053486,0.4325001239776611,364.4219,198.7031,78.47240018844604,151.6406,-296.9375
local-2024-08-04 13:21:11.939213,0.4275000095367431,347.7812,182.7968,70.34449982643127,314.6719,-117.2656
local-2024-08-04 13:26:13.988650,0.4121999740600586,359.5938,193.625,66.38380002975464,343.9844,-99.75
local-2024-08-04 13:31:12.389290,0.4395999908447265,340.2344,174.75,66.8681001663208,329.8281,-94.5469
local-2024-08-04 13:34:32.643829,0.4172999858856201,366.6094,200.7344,66.5783998966217,207.8281,-242.9375
local-2024-08-04 13:37:11.707910,0.4101998805999756,359.6094,193.3125,72.23390007019043,152.4062,-291.3438
local-2024-08-04 13:42:51.497153,0.4585998058319092,374.1094,208.7813,70.12220001220703,150.4062,-307.8594
