label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
containerized-2024-08-01 00:17:51.300405,2.435500144958496,268.125,118.0664,215.22460007667544,367.2695,18.75
containerized-2024-08-04 12:51:00.197507,2.1915998458862305,266.9414,117.2695,198.48179984092712,364.6016,17.25
containerized-2024-08-04 12:51:02.193771,1.760200023651123,269.2305,119.7227,201.4938998222351,369.8398,20.25
containerized-2024-08-04 13:01:03.953770,2.4301998615264893,266.7383,117.2539,210.0684998035431,364.293,17.0
containerized-2024-08-04 13:11:31.782085,1.5772998332977295,268.0508,118.18749999999996,195.9099998474121,367.2031,18.75
containerized-2024-08-04 13:23:26.202331,2.199199914932251,268.3086,118.31640000000002,204.08689999580383,367.5547,18.75
containerized-2024-08-04 13:25:00.786514,2.40090012550354,266.8789,117.207,222.53289985656733,364.5039,17.25
containerized-2024-08-04 13:32:24.352292,1.6735999584197998,266.7812,117.2578,171.5945999622345,364.6367,17.375
containerized-2024-08-04 13:32:30.376686,1.727799892425537,266.4766,117.23440000000002,167.72399997711182,364.1914,17.25
containerized-2024-08-04 13:39:07.392852,1.6414999961853027,267.0703,117.14839999999998,196.1812999248505,364.6992,17.125
containerized-2024-08-04 13:46:34.973296,2.33270001411438,266.7578,117.09369999999998,202.2532000541687,364.3672,17.25
containerized-2024-08-04 13:55:10.960663,2.254300117492676,268.2188,118.3047,205.7780997753144,367.5156,18.75
containerized-2024-08-04 14:03:44.028233,2.345000028610229,268.1289,118.84369999999998,174.2295000553131,368.0156,19.5
containerized-2024-08-04 15:02:54.993046,2.5081000328063965,268.3125,118.457,218.5653998851776,368.6641,17.125
containerized-2024-08-04 15:04:29.929457,2.1369001865386963,268.4961,118.2305,210.36649990081787,367.8906,18.875
containerized-2024-08-04 15:10:32.581685,2.369500160217285,266.9609,117.27339999999998,206.330500125885,365.043,17.375
containerized-2024-08-04 15:10:33.899382,2.2372000217437744,269.0781,119.0508,205.95350003242493,368.5156,19.125
containerized-2024-08-04 15:12:45.936006,2.3403000831604004,267.2891,117.40240000000004,216.34660005569447,364.9609,17.25
containerized-2024-08-04 15:19:15.547234,2.4299001693725586,267.0078,117.25779999999996,225.9872000217437,364.418,17.0
containerized-2024-08-04 15:19:22.198646,2.4574999809265137,266.7266,117.19140000000002,209.17079997062683,364.4453,17.25
containerized-2024-08-04 15:26:58.526168,2.269599914550781,268.1289,118.1445,207.5813000202179,367.543,19.0
containerized-2024-08-04 18:02:08.877103,2.4400999546051025,267.0664,117.27339999999998,202.4333000183105,364.3711,16.75
containerized-2024-08-04 18:02:36.653361,2.5199999809265137,266.7109,117.15619999999998,214.22940015792847,364.2539,17.0
containerized-2024-08-04 18:09:39.422543,2.464899778366089,268.8047,119.47270000000005,210.9848001003265,367.9727,18.75
containerized-2024-08-04 18:44:25.642303,1.6627001762390137,266.0352,116.32819999999998,155.77819991111755,363.9766,17.125
containerized-2024-08-04 18:45:08.931153,1.571300029754639,269.6328,120.33199999999997,198.97180008888245,369.0156,19.125
containerized-2024-08-04 18:51:11.603138,2.396399974822998,269.3047,119.52740000000004,209.9532001018524,368.4297,18.625
containerized-2024-08-04 18:57:59.771679,2.8159000873565674,270.5234,121.13279999999996,171.01029992103577,368.7227,17.625
containerized-2024-08-04 18:58:32.585525,2.26200008392334,269.4102,120.24609999999998,204.06349992752075,368.5781,18.875
containerized-2024-08-04 19:04:29.785839,2.319200038909912,267.0156,117.1953,178.01539993286133,364.6211,17.125
containerized-2024-08-04 19:08:20.832771,2.545099973678589,266.4844,116.7578,185.9059998989105,363.8672,17.0
containerized-2024-08-04 19:16:30.317982,2.497499942779541,270.4766,120.97660000000002,217.1226999759674,369.668,18.75
containerized-2024-08-04 19:23:26.718559,2.274099826812744,269.4258,119.77349999999998,176.7807002067566,368.2539,18.375
containerized-2024-08-05 19:21:37.850488,2.8457999229431152,266.3672,117.20700000000002,210.4902000427246,364.0234,17.25
containerized-2024-08-05 19:29:13.412003,2.4453999996185303,269.4414,120.00779999999996,208.270800113678,369.2227,19.375
containerized-2024-08-05 19:43:53.083178,2.462899923324585,268.168,118.2578,215.5058000087738,370.2266,21.625
containerized-2024-08-05 19:44:07.202764,2.354199886322021,266.6016,117.09380000000002,229.2445998191833,364.3164,17.25
containerized-2024-08-05 19:52:31.635270,2.5234999656677246,265.7852,116.0313,255.4623000621796,354.9766,34.5
containerized-2024-08-05 20:40:56.283028,1.6407999992370603,267.0586,117.2852,195.7087001800537,364.8477,17.25
containerized-2024-08-05 20:41:23.481378,2.605599880218506,266.6641,117.1133,218.1219000816345,364.1836,17.0
containerized-2024-08-05 20:48:16.968777,2.2941999435424805,269.1406,119.5,210.11249995231628,368.3125,18.75
containerized-2024-08-05 20:55:13.119346,1.879499912261963,266.8438,117.29299999999998,168.60630011558533,364.5898,17.25
containerized-2024-08-05 20:55:53.100542,2.6059000492095947,264.6094,114.9375,204.5062000751496,364.2031,16.875
containerized-2024-08-05 21:01:51.755184,1.601600170135498,267.9375,118.7422,194.09759998321533,367.6211,19.125
containerized-2024-08-05 21:06:17.630398,2.463399887084961,269.9688,119.95319999999998,208.9064998626709,369.2461,18.875
containerized-2024-08-05 21:15:20.788206,2.343899965286255,266.4961,117.1484,207.39529991149905,353.3008,34.74219999999997
containerized-2024-08-05 21:15:33.626173,2.4860999584198,267.1445,117.2539,218.46719980239868,364.6289,17.125
containerized-2024-08-05 21:22:42.643843,2.301200151443481,269.3516,119.48440000000002,205.44350004196167,368.4531,18.625
containerized-2024-08-05 21:32:09.557545,2.3479998111724854,265.6016,115.89460000000004,219.08709979057312,365.3906,19.25
containerized-2024-08-05 21:32:18.305630,3.384999990463257,267.2461,117.4258,222.8813998699188,364.6289,17.0
containerized-2024-08-05 21:39:02.087192,2.040299892425537,269.1445,119.5781,165.91600012779236,368.1914,18.75
containerized-2024-08-05 21:45:21.502025,2.220400094985962,266.3828,117.15619999999998,172.15350008010864,364.1172,17.375
containerized-2024-08-05 21:45:39.175935,2.2357001304626465,268.0977,118.23049999999998,189.40380001068115,352.5117,34.71090000000004
containerized-2024-08-05 21:52:33.663505,2.314199924468994,268.9141,118.9336,211.25549983978271,368.7305,19.25
containerized-2024-08-05 21:57:49.847428,2.583400011062622,267.9023,118.32030000000005,207.81550002098083,366.9531,18.5
containerized-2024-08-05 21:57:53.059565,3.362100124359131,269.2695,119.37109999999998,210.1224000453949,368.3867,18.625
containerized-2024-08-05 22:07:20.183970,2.274899959564209,267.3984,117.27339999999998,179.32200002670288,365.0078,17.25
containerized-2024-08-05 22:07:38.940168,1.5230000019073486,267.9414,118.29299999999998,199.7400000095368,367.1133,18.75
containerized-2024-08-05 22:14:27.147472,2.289400100708008,269.2031,119.5429,212.699599981308,368.2148,18.625
containerized-2024-08-05 22:47:09.058460,1.976100206375122,268.4883,118.89849999999998,211.47490000724792,367.8555,19.0
containerized-2024-08-05 22:47:24.980229,2.3680999279022217,267.9414,118.5,224.41279983520508,367.0508,18.75
containerized-2024-08-05 22:54:31.598106,3.205900192260742,266.6562,117.2031,190.6987998485565,353.4414,34.77339999999998
containerized-2024-08-06 08:01:17.843475,2.383200168609619,266.4336,116.6758,177.91209983825684,355.2383,34.847699999999975
containerized-2024-08-06 08:01:51.549109,2.724799871444702,268.0859,118.7421,214.1676998138428,368.3477,17.0
containerized-2024-08-06 08:08:33.063230,2.346699953079224,266.8828,117.10939999999997,226.51600003242493,364.6328,17.25
containerized-2024-08-06 18:28:12.121765,2.3818001747131348,268.0664,118.30079999999998,178.60640001296997,367.4961,19.0
containerized-2024-08-06 18:28:45.773652,2.4399001598358154,267.5117,117.54690000000002,212.13450002670288,364.9336,17.0
containerized-2024-08-06 18:35:21.691931,2.353600025177002,266.7812,117.2656,214.9147000312805,364.4414,17.25
containerized-2024-08-06 18:45:42.564384,2.287300109863281,266.5,117.2305,179.8986999988556,364.2422,17.375
containerized-2024-08-06 18:46:38.147756,2.25629997253418,267.5273,118.16400000000002,232.5329999923706,366.8203,18.75
containerized-2024-08-06 18:52:42.533495,2.470999956130981,268.4961,118.8477,212.26749992370603,367.9492,18.625
containerized-2024-08-06 18:55:33.260068,2.389999866485596,268.1875,118.8984,215.8756000995636,367.9336,19.375
containerized-2024-08-06 19:23:08.131128,1.5236001014709473,267.0586,117.17190000000002,201.4931998252869,364.8594,17.375
containerized-2024-08-06 19:23:09.818411,2.2493999004364014,268.4141,118.711,204.13730001449585,368.1133,19.25
containerized-2024-08-06 19:30:09.300581,1.8377001285552976,269.0273,119.38670000000002,186.3547999858856,368.3594,18.875
containerized-2024-08-06 19:40:08.716251,2.215100049972534,267.1523,118.19140000000002,167.1700999736786,366.3789,18.75
containerized-2024-08-06 19:40:25.891614,2.4835000038146973,269.8438,120.09769999999996,183.91190004348755,369.4883,19.125
containerized-2024-08-06 19:47:05.655176,2.22029995918274,269.8398,119.59760000000004,207.2467999458313,368.9844,18.75
containerized-2024-08-06 19:50:18.222600,2.371500015258789,268.1367,118.8984,209.82480001449585,367.9297,19.375
containerized-2024-08-06 19:50:19.984113,2.4539999961853027,267.4297,117.28910000000002,210.6448998451233,365.0078,17.125
containerized-2024-08-06 20:06:54.469149,2.2054998874664307,270.3047,120.21880000000002,168.5894000530243,354.9414,34.918000000000006
containerized-2024-08-06 20:07:46.619582,2.3216001987457275,265.9102,115.79299999999998,219.6363999843597,365.5508,19.25
containerized-2024-08-06 20:14:01.074127,3.572200059890747,267.5742,118.10940000000002,220.62259984016416,366.9141,18.75
containerized-2024-08-06 20:20:11.501223,2.466600179672241,266.4922,116.60550000000003,238.97640013694763,355.1953,34.644499999999994
containerized-2024-08-06 20:40:39.585658,1.767699956893921,266.3398,117.16400000000002,177.78480005264282,345.9766,29.01570000000004
containerized-2024-08-06 20:41:17.674231,2.4735000133514404,267.0742,117.0859,213.5079998970032,351.4961,34.66410000000002
containerized-2024-08-06 20:47:58.258466,2.4131999015808105,268.0195,118.2539,225.57850003242493,367.2773,18.75
containerized-2024-08-06 20:55:21.924579,1.6065001487731934,267.9805,118.2422,168.43249988555908,367.0352,18.75
containerized-2024-08-06 20:56:24.356559,2.267300128936768,268.0312,118.25390000000002,227.5966999530792,367.0664,18.625
containerized-2024-08-06 21:02:24.879821,2.412400007247925,269.1523,119.64060000000003,220.3986999988556,368.4375,18.875
containerized-2024-08-06 21:26:44.896080,2.2251999378204346,268.1094,118.2813,202.12600016593933,367.4414,18.625
